,year,top3Name,rank,points,pointsPct,yearStart,yearEnd
0,2000,Ferrari,1,170.0,38.46153846153847,2000-01-01,2000-12-31
1,2000,McLaren,2,162.0,36.65158371040724,2000-01-01,2000-12-31
2,2000,Rest,52,74.0,16.742081447963802,2000-01-01,2000-12-31
3,2000,Williams,3,36.0,8.144796380090497,2000-01-01,2000-12-31
4,2001,Ferrari,1,179.0,40.49773755656109,2001-01-01,2001-12-31
5,2001,McLaren,2,102.0,23.07692307692308,2001-01-01,2001-12-31
6,2001,Rest,60,81.0,18.32579185520362,2001-01-01,2001-12-31
7,2001,Williams,3,80.0,18.099547511312217,2001-01-01,2001-12-31
8,2002,Ferrari,1,221.0,50.0,2002-01-01,2002-12-31
9,2002,McLaren,3,65.0,14.705882352941178,2002-01-01,2002-12-31
10,2002,Rest,67,64.0,14.479638009049774,2002-01-01,2002-12-31
11,2002,Williams,2,92.0,20.81447963800905,2002-01-01,2002-12-31
12,2003,Ferrari,1,158.0,25.320512820512818,2003-01-01,2003-12-31
13,2003,McLaren,3,142.0,22.756410256410252,2003-01-01,2003-12-31
14,2003,Rest,49,180.0,28.846153846153843,2003-01-01,2003-12-31
15,2003,Williams,2,144.0,23.07692307692308,2003-01-01,2003-12-31
16,2004,BAR,2,119.0,16.951566951566953,2004-01-01,2004-12-31
17,2004,Ferrari,1,262.0,37.32193732193732,2004-01-01,2004-12-31
18,2004,Renault,3,105.0,14.957264957264956,2004-01-01,2004-12-31
19,2004,Rest,49,216.0,30.76923076923077,2004-01-01,2004-12-31
20,2005,Ferrari,3,100.0,13.550135501355012,2005-01-01,2005-12-31
21,2005,McLaren,2,182.0,24.66124661246613,2005-01-01,2005-12-31
22,2005,Renault,1,191.0,25.88075880758808,2005-01-01,2005-12-31
23,2005,Rest,49,265.0,35.90785907859079,2005-01-01,2005-12-31
24,2006,Ferrari,2,201.0,28.63247863247863,2006-01-01,2006-12-31
25,2006,McLaren,3,110.0,15.669515669515668,2006-01-01,2006-12-31
26,2006,Renault,1,206.0,29.34472934472934,2006-01-01,2006-12-31
27,2006,Rest,69,185.0,26.353276353276357,2006-01-01,2006-12-31
28,2007,BMW Sauber,3,101.0,15.233785822021115,2007-01-01,2007-12-31
29,2007,Ferrari,2,204.0,30.76923076923077,2007-01-01,2007-12-31
30,2007,McLaren,1,218.0,32.880844645550525,2007-01-01,2007-12-31
31,2007,Rest,60,140.0,21.116138763197586,2007-01-01,2007-12-31
32,2008,BMW Sauber,3,135.0,19.230769230769237,2008-01-01,2008-12-31
33,2008,Ferrari,1,172.0,24.501424501424506,2008-01-01,2008-12-31
34,2008,McLaren,2,151.0,21.50997150997151,2008-01-01,2008-12-31
35,2008,Rest,59,244.0,34.75783475783476,2008-01-01,2008-12-31
36,2009,Brawn,1,172.0,26.728826728826725,2009-01-01,2009-12-31
37,2009,McLaren,3,71.0,11.033411033411031,2009-01-01,2009-12-31
38,2009,Red Bull,2,153.5,23.853923853923853,2009-01-01,2009-12-31
39,2009,Rest,49,247.0,38.38383838383839,2009-01-01,2009-12-31
40,2010,Ferrari,3,396.0,20.635747785304847,2010-01-01,2010-12-31
41,2010,McLaren,2,454.0,23.65815528921313,2010-01-01,2010-12-31
42,2010,Red Bull,1,498.0,25.951016154247004,2010-01-01,2010-12-31
43,2010,Rest,69,571.0,29.75508077123502,2010-01-01,2010-12-31
44,2011,Ferrari,3,375.0,19.541427826993228,2011-01-01,2011-12-31
45,2011,McLaren,2,497.0,25.89890568004169,2011-01-01,2011-12-31
46,2011,Red Bull,1,650.0,33.87180823345493,2011-01-01,2011-12-31
47,2011,Rest,69,397.0,20.68785825951016,2011-01-01,2011-12-31
48,2012,Ferrari,2,400.0,19.8019801980198,2012-01-01,2012-12-31
49,2012,McLaren,3,378.0,18.712871287128717,2012-01-01,2012-12-31
50,2012,Red Bull,1,460.0,22.77227722772277,2012-01-01,2012-12-31
51,2012,Rest,69,782.0,38.71287128712871,2012-01-01,2012-12-31
52,2013,Ferrari,3,354.0,18.44710786868161,2013-01-01,2013-12-31
53,2013,Mercedes,2,360.0,18.759770713913497,2013-01-01,2013-12-31
54,2013,Red Bull,1,596.0,31.057842626367897,2013-01-01,2013-12-31
55,2013,Rest,59,609.0,31.735278791036997,2013-01-01,2013-12-31
56,2014,Mercedes,1,701.0,34.7029702970297,2014-01-01,2014-12-31
57,2014,Red Bull,2,405.0,20.04950495049505,2014-01-01,2014-12-31
58,2014,Rest,59,594.0,29.405940594059405,2014-01-01,2014-12-31
59,2014,Williams,3,320.0,15.84158415841584,2014-01-01,2014-12-31
60,2015,Ferrari,2,428.0,22.30328295987493,2015-01-01,2015-12-31
61,2015,Mercedes,1,703.0,36.63366336633664,2015-01-01,2015-12-31
62,2015,Rest,59,531.0,27.67066180302241,2015-01-01,2015-12-31
63,2015,Williams,3,257.0,13.392391870766025,2015-01-01,2015-12-31
64,2016,Ferrari,3,398.0,18.764733616218766,2016-01-01,2016-12-31
65,2016,Mercedes,1,765.0,36.06789250353607,2016-01-01,2016-12-31
66,2016,Red Bull,2,468.0,22.065063649222065,2016-01-01,2016-12-31
67,2016,Rest,60,490.0,23.102310231023104,2016-01-01,2016-12-31
68,2017,Ferrari,2,522.0,25.84158415841584,2017-01-01,2017-12-31
69,2017,Mercedes,1,668.0,33.069306930693074,2017-01-01,2017-12-31
70,2017,Red Bull,3,368.0,18.217821782178216,2017-01-01,2017-12-31
71,2017,Rest,49,462.0,22.871287128712872,2017-01-01,2017-12-31
72,2018,Ferrari,2,571.0,26.921263554926924,2018-01-01,2018-12-31
73,2018,Mercedes,1,655.0,30.88165959453088,2018-01-01,2018-12-31
74,2018,Red Bull,3,419.0,19.75483262611976,2018-01-01,2018-12-31
75,2018,Rest,49,476.0,22.442244224422442,2018-01-01,2018-12-31
76,2019,Ferrari,2,504.0,23.55140186915888,2019-01-01,2019-12-31
77,2019,Mercedes,1,739.0,34.53271028037383,2019-01-01,2019-12-31
78,2019,Red Bull,3,417.0,19.485981308411212,2019-01-01,2019-12-31
79,2019,Rest,49,480.0,22.429906542056074,2019-01-01,2019-12-31
80,2020,Mercedes,1,573.0,33.04498269896194,2020-01-01,2020-12-31
81,2020,Racing Point,3,210.0,12.110726643598616,2020-01-01,2020-12-31
82,2020,Red Bull,2,319.0,18.39677047289504,2020-01-01,2020-12-31
83,2020,Rest,49,632.0,36.4475201845444,2020-01-01,2020-12-31
84,2021,Ferrari,3,323.5,14.65458663646659,2021-01-01,2021-12-31
85,2021,Mercedes,1,613.5,27.79161947904869,2021-01-01,2021-12-31
86,2021,Red Bull,2,585.5,26.52321630804077,2021-01-01,2021-12-31
87,2021,Rest,49,685.0,31.030577576443942,2021-01-01,2021-12-31
88,2022,Ferrari,2,554.0,23.574468085106385,2022-01-01,2022-12-31
89,2022,Mercedes,3,515.0,21.91489361702128,2022-01-01,2022-12-31
90,2022,Red Bull,1,759.0,32.297872340425535,2022-01-01,2022-12-31
91,2022,Rest,45,522.0,22.21276595744681,2022-01-01,2022-12-31
